
Starting Point,# Steps,Local y max
0 , 4 , 0.307644353471
1 , 2 , 0.350047369378
2 , 2 , 0.642970376624
3 , 4 , 0.452363932283
4 , 2 , 0.441567191935
5 , 3 , 0.407159510179
6 , 4 , 0.335888652543
7 , 5 , 0.31181229331
8 , 4 , 0.314974033704
9 , 2 , 0.111383725616
